NC_002946.2.1	dnaA
NC_002946.2.2	dnaN
NC_002946.2.3	ppk
NC_002946.2.4	group_2386
NC_002946.2.5	group_2267
NC_002946.2.6	leuS
NC_002946.2.7	group_300
NC_002946.2.8	dpnA
NC_002946.2.9	group_301
NC_002946.2.10	group_302
NC_002946.2.11	group_739
NC_002946.2.12	group_740
NC_002946.2.13	group_153
NC_002946.2.15	secG
NC_002946.2.16	tpiA
NC_002946.2.17	msrC
NC_002946.2.18	pcm
NC_002946.2.19	moeZ
NC_002946.2.20	fhuE
NC_002946.2.21	group_2556
NC_002946.2.22	fetB2
NC_002946.2.23	group_155
NC_002946.2.24	group_2497
NC_002946.2.25	argA
NC_002946.2.26	group_2998
NC_002946.2.27	pyrE
NC_002946.2.28	group_3167
NC_002946.2.29	group_3182
NC_002946.2.30	yeaZ
NC_002946.2.31	group_307
NC_002946.2.32	fda
NC_002946.2.33	xerC
NC_002946.2.34	dxs
NC_002946.2.35	group_741
NC_002946.2.36	miaB
NC_002946.2.37	group_156
NC_002946.2.38	group_308
NC_002946.2.39	hemL
NC_002946.2.40	group_33
NC_002946.2.41	group_2516
NC_002946.2.42	group_742
NC_002946.2.43	group_743
NC_002946.2.44	orn
NC_002946.2.45	prmA
NC_002946.2.46	accC
NC_002946.2.47	accB
NC_002946.2.48	group_745
NC_002946.2.49	queA
NC_002946.2.50	carB
NC_002946.2.51	group_310
NC_002946.2.52	group_746
NC_002946.2.53	group_3251
NC_002946.2.54	carA
NC_002946.2.56	group_747
NC_002946.2.57	group_63
NC_002946.2.58	group_748
NC_002946.2.59	minD_1
NC_002946.2.61	resA_1
NC_002946.2.62	group_749
NC_002946.2.63	ohrR
NC_002946.2.64	hpaC
NC_002946.2.65	rmlA2_1
NC_002946.2.66	group_157
NC_002946.2.67	fhs
NC_002946.2.68	engD
NC_002946.2.69	group_750
NC_002946.2.70	oatA_1
NC_002946.2.71	tyrS
NC_002946.2.72	group_751
NC_002946.2.73	ribF
NC_002946.2.74	ileS
NC_002946.2.75	group_752
NC_002946.2.76	lspA
NC_002946.2.77	ispH
NC_002946.2.78	group_2725
NC_002946.2.79	ppaX
NC_002946.2.80	group_92
NC_002946.2.81	group_753
NC_002946.2.82	fiu
NC_002946.2.83	group_2591
